,game,total_reviews,rating,primary_genre,peak_players,avg_reviews
64589,Sneaky Sneaky,279,82.34,Strategy,121,2.3057851239669422
64328,Creeper World 3: Arc Eternal,4266,92.75,Strategy,3303,1.2915531335149864
38291,Project Zero Deaths,537,74.12,Action,154,3.487012987012987
28989,Observation,3943,76.95,Indie,1034,3.8133462282398454
60753,Trackday Manager,331,54.37,Racing,168,1.9702380952380953
59191,Neon Warp,81,70.41,Indie,778,0.10411311053984576
35158,Love Puzzle,279,49.27,Indie,1980,0.1409090909090909
36585,Starcom: Nexus,1651,86.84,RPG,554,2.98014440433213
16138,Unpacking,19481,90.22,Indie,2512,7.755175159235669
62751,The Living Dungeon,56,71.37,Strategy,201,0.27860696517412936
44851,Call to Arms,19821,77.95,Strategy,2882,6.877515614156835
9743,OnlyFap Simulator 3 💦,187,67.18,Simulation,968,0.19318181818181818
43851,Attack on Titan 2 - A.O.T.2,5492,89.37,Action,1385,3.9653429602888086
14846,The Anacrusis,1481,46.01,Action,1478,1.0020297699594045
3986,Lust Theory,3131,86.46,Adventure,1417,2.2095977417078334
760,The Karaoke | ヒトカラ,360,76.75,Adventure,446,0.8071748878923767
67492,Kane & Lynch: Dead Men,3151,62.51,Action,142,22.190140845070424
57196,Polterheist,238,38.12,Indie,7985,0.029805886036318098
42264,Second Galaxy,1112,51.58,Massively,765,1.45359477124183
17920,Yakuza 3 Remastered,5420,78.6,Action,2740,1.9781021897810218
56100,Kingdom of Loot,368,53.16,Massively,245,1.5020408163265306
59590,Zenith,575,66.97,RPG,113,5.088495575221239
66017,Final Exam,1117,79.79,Action,315,3.546031746031746
32981,Deskmate Girl,225,61.62,Simulation,169,1.331360946745562
62464,8-Bit Adventures 1: The Forgotten Journey Remastered Edition,135,75.45,RPG,138,0.9782608695652174
27897,Delores: A Thimbleweed Park Mini-Adventure,547,82.72,Adventure,931,0.5875402792696026
16463,Kraken Academy!!,506,86.48,Adventure,106,4.773584905660377
43379,Ashes of Creation Apocalypse,820,38.47,Massively,832,0.9855769230769231
36673,Hello Neighbor Pre-Alpha,1087,85.59,Adventure,145,7.496551724137931
51592,20XX,4097,88.74,Action,712,5.754213483146067
24165,NBA 2K22,37794,57.8,Sports,46661,0.8099697820449626
59559,Neon Space 2,384,67.15,Action,1798,0.2135706340378198
65388,Villagers and Heroes,3234,59.31,Massively,2964,1.091093117408907
